49 : 0 txs
50 : 0 txs
51 : 1 txs
52 : 7 txs
53 : 0 txs
54 : 10 txs
55 : 0 txs
56 : 13 txs
57 : 5 txs
58 : 0 txs
59 : 5 txs
60 : 4 txs
61 : 5 txs
62 : 0 txs
63 : 14 txs
64 : 6 txs
65 : 0 txs
66 : 5 txs
67 : 4 txs
68 : 5 txs
69 : 8 txs
70 : 1 txs
71 : 5 txs
72 : 5 txs
73 : 5 txs
74 : 10 txs
75 : 3 txs
76 : 5 txs
77 : 0 txs
78 : 7 txs
79 : 3 txs
80 : 4 txs
81 : 0 txs
82 : 13 txs
83 : 5 txs
84 : 1 txs
85 : 12 txs
86 : 0 txs
109 : 0 txs
110 : 0 txs
111 : 0 txs
112 : 4 txs
113 : 5 txs
114 : 3 txs
115 : 8 txs
116 : 2 txs
117 : 0 txs
118 : 10 txs
119 : 4 txs
120 : 8 txs
121 : 2 txs
122 : 4 txs
123 : 9 txs
124 : 1 txs
125 : 8 txs
126 : 8 txs
127 : 1 txs
128 : 2 txs
129 : 10 txs
130 : 1 txs
131 : 1 txs
132 : 7 txs
133 : 6 txs
134 : 4 txs
135 : 5 txs
136 : 5 txs
137 : 5 txs
138 : 7 txs
139 : 4 txs
140 : 5 txs
141 : 3 txs
142 : 10 txs
143 : 0 txs
144 : 4 txs
145 : 6 txs
146 : 8 txs
147 : 4 txs
148 : 1 txs
170 : 0 txs
171 : 0 txs
172 : 2 txs
173 : 10 txs
174 : 3 txs
175 : 5 txs
176 : 12 txs
177 : 17 txs
178 : 1 txs
179 : 7 txs
180 : 0 txs
181 : 24 txs
182 : 7 txs
183 : 12 txs
184 : 13 txs
185 : 3 txs
186 : 11 txs
187 : 13 txs
188 : 7 txs
189 : 0 txs
190 : 12 txs
191 : 13 txs
192 : 2 txs
193 : 0 txs
194 : 24 txs
195 : 12 txs
196 : 2 txs
197 : 12 txs
198 : 10 txs
199 : 9 txs
200 : 6 txs
201 : 18 txs
202 : 4 txs
203 : 0 txs
204 : 15 txs
205 : 18 txs
206 : 10 txs
207 : 12 txs
208 : 0 txs
209 : 10 txs
